,number,value,datetime_start,datetime_complete,duration,params_alpha,params_decay_interval,params_decay_rate,params_gamma,params_initialization,params_max_steps,state
114,114,4227.25,2023-11-15 10:41:22.698866,2023-11-15 10:41:22.869157,0 days 00:00:00.170291,0.6,10,2.0,0.4,6,89,COMPLETE
115,115,18392.5,2023-11-15 10:41:22.870051,2023-11-15 10:41:22.950786,0 days 00:00:00.080735,0.5,20,1.0,0.2,0,75,COMPLETE
116,116,2566.75,2023-11-15 10:41:22.951618,2023-11-15 10:41:23.079966,0 days 00:00:00.128348,0.5,20,1.0,0.2,2,52,COMPLETE
117,117,5235.5,2023-11-15 10:41:23.080991,2023-11-15 10:41:23.227591,0 days 00:00:00.146600,0.5,10,1.0,0.2,54,73,COMPLETE
118,118,1657.75,2023-11-15 10:41:23.228491,2023-11-15 10:41:23.394148,0 days 00:00:00.165657,0.5,20,1.0,0.1,46,69,COMPLETE
119,119,5401.75,2023-11-15 10:41:23.395059,2023-11-15 10:41:23.540785,0 days 00:00:00.145726,0.4,10,1.25,0.1,9,76,COMPLETE
120,120,16318.0,2023-11-15 10:41:23.541756,2023-11-15 10:41:23.649885,0 days 00:00:00.108129,0.7000000000000001,30,0.75,0.4,0,124,COMPLETE
121,121,15658.75,2023-11-15 10:41:23.650773,2023-11-15 10:41:23.741533,0 days 00:00:00.090760,0.6,20,1.0,0.30000000000000004,4,82,COMPLETE
122,122,18297.0,2023-11-15 10:41:23.742954,2023-11-15 10:41:23.821469,0 days 00:00:00.078515,0.6,20,2.0,0.2,0,79,COMPLETE
123,123,3541.0,2023-11-15 10:41:23.822656,2023-11-15 10:41:24.003384,0 days 00:00:00.180728,0.6,10,2.0,0.30000000000000004,7,92,COMPLETE
124,124,13505.5,2023-11-15 10:41:24.004430,2023-11-15 10:41:24.122226,0 days 00:00:00.117796,0.5,90,1.25,0.2,3,143,COMPLETE
125,125,4831.75,2023-11-15 10:41:24.123241,2023-11-15 10:41:24.285445,0 days 00:00:00.162204,0.9,10,1.75,0.30000000000000004,2,86,COMPLETE
126,126,147.5,2023-11-15 10:41:24.286378,2023-11-15 10:41:24.475375,0 days 00:00:00.188997,0.6,20,2.0,0.4,5,63,COMPLETE
127,127,17644.5,2023-11-15 10:41:24.477400,2023-11-15 10:41:24.553858,0 days 00:00:00.076458,0.4,30,1.0,0.7000000000000001,0,72,COMPLETE
128,128,100.0,2023-11-15 10:41:24.554819,2023-11-15 10:41:24.756961,0 days 00:00:00.202142,0.5,20,2.0,0.30000000000000004,6,67,COMPLETE
129,129,10158.5,2023-11-15 10:41:24.758012,2023-11-15 10:41:24.892526,0 days 00:00:00.134514,0.7000000000000001,80,1.5,0.4,82,109,COMPLETE
130,130,2264.25,2023-11-15 10:41:24.893492,2023-11-15 10:41:25.079564,0 days 00:00:00.186072,0.6,10,1.25,0.30000000000000004,31,85,COMPLETE
131,131,5818.5,2023-11-15 10:41:25.080583,2023-11-15 10:41:25.230273,0 days 00:00:00.149690,0.4,20,1.25,0.4,2,81,COMPLETE
132,132,18297.0,2023-11-15 10:41:25.231318,2023-11-15 10:41:25.309582,0 days 00:00:00.078264,0.30000000000000004,20,1.25,0.5,0,96,COMPLETE
133,133,5478.25,2023-11-15 10:41:25.310783,2023-11-15 10:41:25.458530,0 days 00:00:00.147747,0.5,10,1.25,0.4,4,75,COMPLETE
134,134,12334.0,2023-11-15 10:41:25.459642,2023-11-15 10:41:25.578571,0 days 00:00:00.118929,0.4,20,1.0,0.4,2,88,COMPLETE
135,135,5070.0,2023-11-15 10:41:25.579542,2023-11-15 10:41:25.730801,0 days 00:00:00.151259,0.5,50,2.0,0.4,7,79,COMPLETE
136,136,18392.25,2023-11-15 10:41:25.731759,2023-11-15 10:41:25.813058,0 days 00:00:00.081299,0.30000000000000004,20,1.5,0.5,0,71,COMPLETE
137,137,15150.0,2023-11-15 10:41:25.813955,2023-11-15 10:41:25.904001,0 days 00:00:00.090046,0.30000000000000004,30,1.5,0.5,4,70,COMPLETE
138,138,5162.0,2023-11-15 10:41:25.904928,2023-11-15 10:41:26.033731,0 days 00:00:00.128803,0.2,40,1.5,0.5,94,57,COMPLETE
139,139,1313.25,2023-11-15 10:41:26.034605,2023-11-15 10:41:26.191978,0 days 00:00:00.157373,0.30000000000000004,10,1.75,0.5,10,62,COMPLETE
140,140,18197.5,2023-11-15 10:41:26.193570,2023-11-15 10:41:26.273398,0 days 00:00:00.079828,0.6,20,2.0,0.2,0,65,COMPLETE
141,141,6046.25,2023-11-15 10:41:26.274629,2023-11-15 10:41:26.428851,0 days 00:00:00.154222,0.30000000000000004,20,1.5,0.4,2,84,COMPLETE
142,142,18297.0,2023-11-15 10:41:26.429921,2023-11-15 10:41:26.509445,0 days 00:00:00.079524,0.4,20,1.25,0.8,0,76,COMPLETE
143,143,100.75,2023-11-15 10:41:26.510449,2023-11-15 10:41:26.727322,0 days 00:00:00.216873,0.30000000000000004,10,1.25,0.1,4,69,COMPLETE
144,144,4454.5,2023-11-15 10:41:26.728347,2023-11-15 10:41:26.886239,0 days 00:00:00.157892,0.6,20,2.0,0.5,2,82,COMPLETE
