,number,value,datetime_start,datetime_complete,duration,params_alpha,params_decay_interval,params_decay_rate,params_gamma,params_initialization,params_max_steps,state
86,86,17372.25,2023-11-15 13:17:26.148619,2023-11-15 13:17:26.232806,0 days 00:00:00.084187,0.9,20,0.75,0.9,40,97,COMPLETE
87,87,18492.0,2023-11-15 13:17:26.233638,2023-11-15 13:17:26.313503,0 days 00:00:00.079865,0.9,10,1.0,0.9,33,99,COMPLETE
88,88,15738.5,2023-11-15 13:17:26.314479,2023-11-15 13:17:26.409955,0 days 00:00:00.095476,0.9,50,1.0,0.9,34,100,COMPLETE
89,89,18299.5,2023-11-15 13:17:26.410847,2023-11-15 13:17:26.494912,0 days 00:00:00.084065,0.9,10,0.5,0.9,30,93,COMPLETE
90,90,17469.5,2023-11-15 13:17:26.496205,2023-11-15 13:17:26.585667,0 days 00:00:00.089462,0.9,20,0.5,0.9,29,93,COMPLETE
91,91,17980.25,2023-11-15 13:17:26.586762,2023-11-15 13:17:26.670188,0 days 00:00:00.083426,0.9,10,1.0,0.9,34,98,COMPLETE
92,92,17197.5,2023-11-15 13:17:26.671008,2023-11-15 13:17:26.767577,0 days 00:00:00.096569,0.9,10,0.5,0.9,49,95,COMPLETE
93,93,18156.0,2023-11-15 13:17:26.768503,2023-11-15 13:17:26.857386,0 days 00:00:00.088883,0.9,10,0.75,0.9,44,99,COMPLETE
94,94,17935.25,2023-11-15 13:17:26.858459,2023-11-15 13:17:26.941561,0 days 00:00:00.083102,0.9,10,1.0,0.9,54,94,COMPLETE
95,95,17980.25,2023-11-15 13:17:26.943051,2023-11-15 13:17:27.026666,0 days 00:00:00.083615,0.9,10,1.0,0.9,25,98,COMPLETE
96,96,17012.25,2023-11-15 13:17:27.027851,2023-11-15 13:17:27.125317,0 days 00:00:00.097466,0.9,20,0.5,0.9,31,91,COMPLETE
97,97,18207.5,2023-11-15 13:17:27.127049,2023-11-15 13:17:27.209533,0 days 00:00:00.082484,0.8,10,0.75,0.9,40,96,COMPLETE
98,98,18328.0,2023-11-15 13:17:27.210877,2023-11-15 13:17:27.292397,0 days 00:00:00.081520,0.9,10,1.0,0.9,50,92,COMPLETE
99,99,17467.75,2023-11-15 13:17:27.293463,2023-11-15 13:17:27.379884,0 days 00:00:00.086421,0.9,20,0.75,0.9,50,92,COMPLETE
100,100,12619.0,2023-11-15 13:17:27.380812,2023-11-15 13:17:27.504802,0 days 00:00:00.123990,0.8,100,1.0,0.9,49,98,COMPLETE
101,101,17434.25,2023-11-15 13:17:27.505801,2023-11-15 13:17:27.611566,0 days 00:00:00.105765,0.9,10,0.25,0.9,42,94,COMPLETE
102,102,18307.0,2023-11-15 13:17:27.612752,2023-11-15 13:17:27.693438,0 days 00:00:00.080686,0.9,10,1.25,0.9,60,100,COMPLETE
103,103,17402.25,2023-11-15 13:17:27.694329,2023-11-15 13:17:27.795167,0 days 00:00:00.100838,0.30000000000000004,10,1.25,0.9,39,100,COMPLETE
