,value,max_episodes,gamma,alpha,initialization,decay_rate,decay_interval
438,100.0,920,0.7000000000000001,0.4,92,2.25,71
439,100.0,328,0.9,0.2,52,2.75,61
440,100.0,542,0.8,0.1,73,3.0,91
441,100.0,874,0.4,0.7000000000000001,45,1.25,71
442,100.0,994,0.5,0.8,25,2.0,1
443,100.0,769,0.1,0.4,64,1.75,41
444,100.0,815,0.6,0.30000000000000004,78,2.5,51
445,100.0,723,0.30000000000000004,0.6,13,2.25,61
446,100.0,616,0.5,0.9,48,1.0,71
447,100.0,959,0.4,0.2,75,2.75,51
448,-100.0,198,0.2,0.1,80,0.75,91
449,100.0,741,0.5,0.5,15,2.5,81
450,100.0,690,0.30000000000000004,0.8,60,3.0,71
451,100.0,421,0.7000000000000001,0.7000000000000001,33,1.75,61
452,100.0,653,0.1,0.6,23,1.5,81
453,100.0,899,0.30000000000000004,0.9,38,3.0,71
454,100.0,353,0.6,0.9,10,2.0,21
455,100.0,274,0.8,0.8,98,2.25,11
456,100.0,838,0.4,0.30000000000000004,87,2.75,51
457,100.0,384,0.9,0.7000000000000001,43,2.5,61
458,100.0,938,0.2,0.2,20,1.0,41
459,100.0,600,0.5,0.6,30,3.0,71
460,100.0,560,0.4,0.5,82,2.75,31
461,100.0,794,0.5,0.4,66,1.5,81
462,100.0,669,0.7000000000000001,0.1,16,1.75,91
463,100.0,526,0.30000000000000004,0.9,57,2.25,1
464,100.0,637,0.6,0.8,4,1.25,61
465,100.0,775,0.2,0.9,77,2.0,71
466,100.0,580,0.4,0.7000000000000001,94,2.5,41
467,100.0,703,0.1,0.1,41,3.0,51
468,100.0,866,0.5,0.8,46,3.0,71
469,0.0,751,0.2,0.6,0,1.75,61
470,-100.0,117,0.30000000000000004,0.2,51,2.75,81
471,100.0,726,0.9,0.9,12,2.0,71
472,100.0,682,0.4,0.30000000000000004,8,2.5,51
473,100.0,314,0.30000000000000004,0.9,72,1.5,61
474,100.0,658,0.7000000000000001,0.8,36,1.25,11
475,100.0,852,0.6,0.5,28,2.25,91
476,-100.0,155,0.1,0.4,84,2.75,31
477,100.0,826,0.6,0.7000000000000001,68,0.25,81
478,100.0,973,0.5,0.2,25,1.0,71
479,100.0,402,0.4,0.6,17,0.75,51
480,100.0,611,0.8,0.9,13,1.75,61
481,100.0,538,0.7000000000000001,0.30000000000000004,50,0.5,71
482,100.0,591,0.5,0.1,15,2.25,41
483,100.0,713,0.30000000000000004,0.8,100,3.0,91
484,100.0,1000,0.2,0.7000000000000001,31,2.5,61
485,100.0,370,0.5,0.5,44,2.75,71
486,100.0,558,0.4,0.9,48,1.75,81
487,100.0,488,0.30000000000000004,0.2,90,2.0,51
488,100.0,455,0.1,0.8,62,1.5,61
489,100.0,515,0.6,0.30000000000000004,19,1.0,41
490,100.0,629,0.9,0.7000000000000001,40,3.0,21
